channel_id               ,channel_name                                                                   ,channel_url                                              ,profile_picture_url                                                                                                            ,subscriber_count ,view_count ,video_count ,custom_url                  ,channel_description                                  ,playlists                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,country
UCQAtfrw6TEFv7BIiEboekSw ,༒⃝᭄꧌ 💕 ꧌𒋲𓉘 𝗠𝗶𝘀𝘀 𝗖𝘂𝘁𝗶𝗲 𓉝𒍫꧌ 💕 ꧌𑁍ㅤㅤㅤㅤㅤㅤㅤ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ ,https://www.youtube.com/channel/UCQAtfrw6TEFv7BIiEboekSw ,https://yt3.ggpht.com/2N0oJCJlN-Rjk5DgO8TSV9XUf5Wv3VjcrmhQHyEsrBl7vqTleSW6aFdafmkWHN17onjH6wZzBQ=s88-c-k-c0x00ffffff-no-rj     ,              12 ,      1406 ,          6 ,@neha-mena_09               ,🇯 🇦 🇮 . 🇲 🇦 🇭 🇦 🇰 🇦 🇱 🙏 🙏🧘‍♀️             ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UCTcFLHbxKr10cprSHzgkPwg ,Amit Gupta                                                                     ,https://www.youtube.com/channel/UCTcFLHbxKr10cprSHzgkPwg ,https://yt3.ggpht.com/nUxBarCJynFMukNB03Ed7en1dBdJqx8QPzLxL4-UXDEYtY40HjjAYT4MO6vYtwly2nUAg42PSA=s88-c-k-c0x00ffffff-no-rj     ,              16 ,      2205 ,         17 ,@arvindgupta8000            ,                                                     ,"[{'playlist_id': 'PLkDGm3FwkpZyR2RaETc36EPRJ2MmOAEAs', 'playlist_title': 'Arvind', 'playlist_url': 'https://www.youtube.com/playlist?list=PLkDGm3FwkpZyR2RaETc36EPRJ2MmOAEAs'}, {'playlist_id': 'PLkDGm3FwkpZyr0m6o8NdQfvF8VEfQ8TwQ', 'playlist_title': 'Arvind', 'playlist_url': 'https://www.youtube.com/playlist?list=PLkDGm3FwkpZyr0m6o8NdQfvF8VEfQ8TwQ'}, {'playlist_id': 'PLkDGm3FwkpZxAs6zuQBYvieaq9sOT4ban', 'playlist_title': 'Ranhi', 'playlist_url': 'https://www.youtube.com/playlist?list=PLkDGm3FwkpZxAs6zuQBYvieaq9sOT4ban'}]" ,
UCIvoAwzd58RqYRQO8W5ezug ,Loco💞_____________________________________________                            ,https://www.youtube.com/channel/UCIvoAwzd58RqYRQO8W5ezug ,https://yt3.ggpht.com/CpAA8FDCHcv9a9ifWqsOIaCrEKv1A8BOtkdVzsGPjZfFB54wn6eUaNdejgasoxsF8ORV7F4_NGE=s88-c-k-c0x00ffffff-no-rj    ,               0 ,         0 ,          0 ,@shamshadalam-zj9fw         ,                                                     ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UC9EAjzzTfp5rgMgepN26r9Q ,ROYAL 👑                                                                       ,https://www.youtube.com/channel/UC9EAjzzTfp5rgMgepN26r9Q ,https://yt3.ggpht.com/8dLVosgV78EFmO6XAoUTJafSSMmOy8dhNlRYiAmGUXdKIoc4cMYS9r1t5c3sbcuqpy15-2o2=s88-c-k-c0x00ffffff-no-rj       ,               1 ,         0 ,          0 ,@masoom07482                ,....                                                 ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UCT-fJz7Np_epiw52Zhuycgg ,[𒆜]⃟ ◣⁔◢ ⃟[𒆜]        『 [ ⱲȺƦDȺȺƮ ] 』   《⸌⸏⸍》𒐸༻                            ,https://www.youtube.com/channel/UCT-fJz7Np_epiw52Zhuycgg ,https://yt3.ggpht.com/jZL7RaoXNMfKxiynakBsdJMAy0zTZVU5zfMzcpsSHx6kReNf8IenXWfOduMmlNFPAFi0ng-c_A=s88-c-k-c0x00ffffff-no-rj     ,               0 ,         0 ,          0 ,@xx-wrdt-xx-rx2rg           ,                                                     ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UC6pZkIKY6_HBuUNA-lp5KmQ ,Sonu Kumar                                                                     ,https://www.youtube.com/channel/UC6pZkIKY6_HBuUNA-lp5KmQ ,https://yt3.ggpht.com/ytc/AIdro_kEV5oQwBCj4p509QUEKNJ2EA1K0qg1ibYdrINtjzo=s88-c-k-c0x00ffffff-no-rj                            ,               0 ,        10 ,         13 ,@sonukumar-ik1ir            ,                                                     ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UC6f_6k5ea_H0UL2GByFFoCw ,Aitrey                                                                         ,https://www.youtube.com/channel/UC6f_6k5ea_H0UL2GByFFoCw ,https://yt3.ggpht.com/1Qz0BP28Xhu8TTR0ak2N9RBtW9jcQugBN1QKlGcca4Tx1Vn61rxW5JcAoxmkP0ux6evureGr=s88-c-k-c0x00ffffff-no-rj       ,               1 ,         0 ,          0 ,@aitrey224                  ,                                                     ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UCTLD8e5zm4C4Xg4L_M3u_eg ,Acting adda                                                                    ,https://www.youtube.com/channel/UCTLD8e5zm4C4Xg4L_M3u_eg ,https://yt3.ggpht.com/1InAr-o7dWYm-2qBpqro2YNLhoacZ0gOi0Th8JvZda9A6IeIOtUzFfxUYVRn_IX1JRFxisFp=s88-c-k-c0x00ffffff-no-rj       ,            3320 ,     70576 ,        247 ,@actingadda01               ,"support please..🙏🙏🙏
                                                                                                                                                                                                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                                                                                                            #short
                                                                                                                                                                                                                                                                                                                                                                            #shorts
                                                                                                                                                                                                                                                                                                                                                                            #ytshort
                                                                                                                                                                                                                                                                                                                                                                            #shortfeed
                                                                                                                                                                                                                                                                                                                                                                            #youtubeshorts
                                                                                                                                                                                                                                                                                                                                                                            #viralshorts
                                                                                                                                                                                                                                                                                                                                                                            #trending shorts "                                   ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UCA3APaTQBydRgmpNzSI9VPQ ,Mr.. yadav                                                                     ,https://www.youtube.com/channel/UCA3APaTQBydRgmpNzSI9VPQ ,https://yt3.ggpht.com/D6zl2Rxd2fsAP7BvJt_KoUboofn2XfFCUt7-3IcSsHb_y5hSQOhnIs9-DuOFq1XzIX9e3TExz5w=s88-c-k-c0x00ffffff-no-rj    ,               0 ,         0 ,          0 ,@sarveshyadav-vu6jh         ,                                                     ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,
UCyU4EQNR-NaSq3EdA7uLcDg ,MANAV THAKUR                                                                   ,https://www.youtube.com/channel/UCyU4EQNR-NaSq3EdA7uLcDg ,https://yt3.ggpht.com/ytc/AIdro_nw7NPDEUdBhWrkn_CmmcHuVCSP0H1yv_GM2ex3px-Ox-Fm=s88-c-k-c0x00ffffff-no-rj                       ,               0 ,         1 ,          1 ,@manavthakur9573            ,                                                     ,"[{'playlist_id': 'PLQN4IzIOjXwOwfAAGB6xcpfKwBVamz-mm', 'playlist_title': 'M', 'playlist_url': 'https://www.youtube.com/playlist?list=PLQN4IzIOjXwOwfAAGB6xcpfKwBVamz-mm'}, {'playlist_id': 'PLQN4IzIOjXwPcWaZOcOgas2iNqK-vxz1k', 'playlist_title': 'Mk', 'playlist_url': 'https://www.youtube.com/playlist?list=PLQN4IzIOjXwPcWaZOcOgas2iNqK-vxz1k'}]"                                                                                                                                                                                        ,
