author_name                                                                    ,author_channel_id        ,message                                                                                              ,published_at
༒⃝᭄꧌ 💕 ꧌𒋲𓉘 𝗠𝗶𝘀𝘀 𝗖𝘂𝘁𝗶𝗲 𓉝𒍫꧌ 💕 ꧌𑁍ㅤㅤㅤㅤㅤㅤㅤ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ ,UCQAtfrw6TEFv7BIiEboekSw ,🧘‍♀️🧘‍♀️                                                                                               ,2024-06-03T02:52:46.805783+00:00
Amit Gupta                                                                     ,UCTcFLHbxKr10cprSHzgkPwg ,hello 👋👋👋                                                                                         ,2024-06-03T02:52:48.300176+00:00
Loco💞_____________________________________________                            ,UCIvoAwzd58RqYRQO8W5ezug ,ariba congratulations bolu kya 😂🤣😂 😝😝👉🏿 villan                                                ,2024-06-03T02:52:49.738046+00:00
ROYAL 👑                                                                       ,UC9EAjzzTfp5rgMgepN26r9Q ,Ab Mein ja rhi hoon                                                                                  ,2024-06-03T02:52:52.284063+00:00
[𒆜]⃟ ◣⁔◢ ⃟[𒆜]        『 [ ⱲȺƦDȺȺƮ ] 』   《⸌⸏⸍》𒐸༻                            ,UCT-fJz7Np_epiw52Zhuycgg ,ALLH/BTR😻                                                                                           ,2024-06-03T02:52:53.072931+00:00
Sonu Kumar                                                                     ,UC6pZkIKY6_HBuUNA-lp5KmQ ,kya hua Divya                                                                                        ,2024-06-03T02:52:58.100932+00:00
Aitrey                                                                         ,UC6f_6k5ea_H0UL2GByFFoCw ,:cat-orange-whistling:                                                                               ,2024-06-03T02:52:59.846187+00:00
Loco💞_____________________________________________                            ,UCIvoAwzd58RqYRQO8W5ezug ,royal acha hia kro to                                                                                ,2024-06-03T02:53:03.339794+00:00
Amit Gupta                                                                     ,UCTcFLHbxKr10cprSHzgkPwg ,miss cutie:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving: ,2024-06-03T02:53:05.423883+00:00
Acting adda                                                                    ,UCTLD8e5zm4C4Xg4L_M3u_eg ,hii miss cuty                                                                                        ,2024-06-03T02:53:06.990164+00:00
Mr.. yadav                                                                     ,UCA3APaTQBydRgmpNzSI9VPQ ,Khushi 🤔                                                                                            ,2024-06-03T02:53:10.373299+00:00
MANAV THAKUR                                                                   ,UCyU4EQNR-NaSq3EdA7uLcDg ,hii                                                                                                  ,2024-06-03T02:53:13.286195+00:00
(ALONE /!/ HEART)                                                              ,UCk8KoxOLk7foy_l2gUDnD2w ,ab aap btao seven days me kaise possible hoga kisi ko gf bnanae ki                                   ,2024-06-03T02:53:14.039937+00:00
Foxtrot♡                                                                       ,UC0VyWjlfyzy8EnEZ3InA31g ,🦌🐦                                                                                                 ,2024-06-03T02:53:14.31289+00:00
𒁍 ⃝⃟🦁⁂ ⃪𓆩༎〭〬 Yug Thakur༎〭〬𓆪᪵ㅤ ⃝⃟🦁𒁍                                               ,UChMp2unCIZ7YrADc7tO89vg ,🙃🙃                                                                                                 ,2024-06-03T02:53:14.575132+00:00
Anshuman Pratap                                                                ,UCL6iaeEgpMcN2KdzPSJO68w ,sonam kaha gayi                                                                                      ,2024-06-03T02:53:15.959911+00:00
Giri 🪖🪖                                                                      ,UCXSENkMDPKl-VzYxp9wW64Q ,Divya sorry majak kar Raha tha                                                                       ,2024-06-03T02:53:19.92879+00:00
MANAV THAKUR                                                                   ,UCyU4EQNR-NaSq3EdA7uLcDg ,Good morning dear all friends                                                                        ,2024-06-03T02:53:21.617213+00:00
Bhanu Pratap                                                                   ,UC9PJNfDOkjWZugM93LFB_QQ ,दिव्या बोलो                                                                                           ,2024-06-03T02:53:22.674728+00:00
Shuraj kumar Kumar                                                             ,UCcxT6PN7lSCUfJ68MxCCzDg ,हमारे तरफ से शुभकामनाएं                                                                                  ,2024-06-03T02:53:23.332766+00:00
Amit Gupta                                                                     ,UCTcFLHbxKr10cprSHzgkPwg ,kaise ho aap miss cutie                                                                              ,2024-06-03T02:53:23.915973+00:00
Divya                                                                          ,UCNLms7SHICesP9SxYUyGGSg ,😭😭😭😭😭                                                                                           ,2024-06-03T02:53:25.16254+00:00
A𔖾B𔖾D𔖾U𔖾L🕊️                                                                ,UCDVEatQnTmUyzo9DgvRBHiQ ,😴                                                                                                   ,2024-06-03T02:53:27.876772+00:00
ROYAL 👑                                                                       ,UC9EAjzzTfp5rgMgepN26r9Q ,Alam bhai byyyyyyyyyyyyyy                                                                            ,2024-06-03T02:53:29.274777+00:00
Sahil Badgal                                                                   ,UCInxddpDz35uQ6jcoJ8CdiQ ,sonam kaha gaya aap                                                                                  ,2024-06-03T02:53:29.676664+00:00
Sonam thakur                                                                   ,UC4Pd336X-0dgY0dryjWvjNw ,hey mene kuch pucha tha 🥲                                                                           ,2024-06-03T02:53:29.698907+00:00
Deepak Kumar Gupta kumar Gupta                                                 ,UC0YvybkSJ6aVZQ_xdZUhHzg ,ok by priya                                                                                          ,2024-06-03T02:53:31.090467+00:00
Giri 🪖🪖                                                                      ,UCXSENkMDPKl-VzYxp9wW64Q ,good night bye bye tc good night sweet dreams take care                                              ,2024-06-03T02:53:34.516603+00:00
Acting adda                                                                    ,UCTLD8e5zm4C4Xg4L_M3u_eg ,hii divya                                                                                            ,2024-06-03T02:53:38.833693+00:00
Indal Patel                                                                    ,UCxt0mzSWaNxgw0CmV2oySJw ,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:hay        ,2024-06-03T02:53:39.089842+00:00
Sonlal Pasi                                                                    ,UCWgvB6XlRPgiwoEbsWT_GMQ ,🇮🇳🇮🇳🇮🇳🇮🇳😍😍😍😍🥰🥰🥰                                                                       ,2024-06-03T02:53:39.149974+00:00
Aitrey                                                                         ,UC6f_6k5ea_H0UL2GByFFoCw ,🙃🙃                                                                                                 ,2024-06-03T02:53:40.411654+00:00
Divya                                                                          ,UCNLms7SHICesP9SxYUyGGSg ,😭😭😭😭                                                                                             ,2024-06-03T02:53:41.334488+00:00
ROYAL 👑                                                                       ,UC9EAjzzTfp5rgMgepN26r9Q ,Allah Hafiz TC bhai and sis                                                                          ,2024-06-03T02:53:44.769723+00:00
Sahil Badgal                                                                   ,UCInxddpDz35uQ6jcoJ8CdiQ ,kya pocha tha sonam g apna                                                                           ,2024-06-03T02:53:45.527148+00:00
Musarrat Perween                                                               ,UCW62DjFcRf6r0g37EEQfQyw ,hyyy                                                                                                 ,2024-06-03T02:53:47.730439+00:00
Anshuman Pratap                                                                ,UCL6iaeEgpMcN2KdzPSJO68w ,kya puchha                                                                                           ,2024-06-03T02:53:47.760498+00:00
MANAV THAKUR                                                                   ,UCyU4EQNR-NaSq3EdA7uLcDg ,hii                                                                                                  ,2024-06-03T02:53:49.760424+00:00
𝓼𝓱𝓸𝔂𝓮𝓫                                                                   ,UCHkG2pbic-1ts7lhQnQ2V3A ,:body-blue-raised-arms:                                                                              ,2024-06-03T02:53:50.804695+00:00
SHARDA DEVI                                                                    ,UCXeuwYtN22EZ7Tkk33oYu8Q ,l                                                                                                    ,2024-06-03T02:53:53.990409+00:00
Loco💞_____________________________________________                            ,UCIvoAwzd58RqYRQO8W5ezug ,ariba 🤣🤣🤣 isliye bacha hu kane k liy batan done ko kaam li hia mujhe sk tha 🤣🤣🤣🤣              ,2024-06-03T02:53:55.677408+00:00
Sweta Gautam                                                                   ,UCFZ8f3MLL3twQZch2HH2PfA ,koi bt nhi gf nhi mili to kya wife apko achhi milegi                                                 ,2024-06-03T02:53:56.437725+00:00
Sonu Kumar                                                                     ,UC6pZkIKY6_HBuUNA-lp5KmQ ,Divya kyu ro Rahi hai                                                                                ,2024-06-03T02:54:00.230256+00:00
Loco💞_____________________________________________                            ,UCIvoAwzd58RqYRQO8W5ezug ,royal by tc                                                                                          ,2024-06-03T02:54:01.67454+00:00
Amarnath Mishra                                                                ,UCG46O86ZpG4PiDk2dcOJItA ,BHOJAN KARNE WALE PASHU HOTE HAI                                                                     ,2024-06-03T02:54:01.842618+00:00
Foxtrot♡                                                                       ,UC0VyWjlfyzy8EnEZ3InA31g ,#Musarrat Perween wlcm                                                                               ,2024-06-03T02:54:04.385499+00:00
Dilip Verma                                                                    ,UCZw3Y6N7T2KHs0-KImJ2p9A ,बेबी                                                                                                  ,2024-06-03T02:54:06.79741+00:00
Loco💞_____________________________________________                            ,UCIvoAwzd58RqYRQO8W5ezug ,royal Allah hafiz                                                                                    ,2024-06-03T02:54:07.116707+00:00
Amit mauryanshi🙏🙏                                                            ,UCVYi6s4iLch65SF6V815jmA ,divya ji good morning                                                                                ,2024-06-03T02:54:08.664767+00:00
Neha Yadav                                                                     ,UCbNlm8IqlQHhJvh8J7ONUsg ,🚵🚵🚵🚵🚵🚵🚵‍♀️🚵‍♀️🚵‍♀️🚵‍♀️🚵‍♂️🚵‍♂️                                                                       ,2024-06-03T02:54:09.019055+00:00
Adil Alam                                                                      ,UCTBiOXMT83NblR22EOMKAQA ,:face-fuchsia-flower-shape::face-fuchsia-flower-shape:                                               ,2024-06-03T02:54:12.408058+00:00
𒁍 ⃝⃟🦁⁂ ⃪𓆩༎〭〬 Yug Thakur༎〭〬𓆪᪵ㅤ ⃝⃟🦁𒁍                                               ,UChMp2unCIZ7YrADc7tO89vg ,🙃🙃                                                                                                 ,2024-06-03T02:54:14.305737+00:00
(ALONE /!/ HEART)                                                              ,UCk8KoxOLk7foy_l2gUDnD2w ,achha                                                                                                ,2024-06-03T02:54:14.49438+00:00
Atif Khan                                                                      ,UCVr8L8oqc7nnxV3uBkdiFrQ ,:learning::learning::learning::learning:                                                             ,2024-06-03T02:54:14.674536+00:00
Mr.. yadav                                                                     ,UCA3APaTQBydRgmpNzSI9VPQ ,Khushi ठाकुर 🤔                                                                                       ,2024-06-03T02:54:15.114632+00:00
